Ef,,0.4841,0.6765,0.816,0.8048,0.792,0.7112,0.6063,0.532,0.54777,0.56296,0.78615,0.5591,0.8243,0.56295,0.47067,0.63149,0.77400497,0.51607,0.6248,0.65704,0.70236,0.680169,0.75433,0.717318,0.66487,0.72509,0.75877,0.71313,0.77083,0.731578,0.715193,0.4146,0.596113,0.6023
Ef : Fermi Energy - max energy occupied by electrons : Potentially could align spectra so Ef all in same row as alternate approach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Label is chemistry and structure : eg. Sc W(A2) is Sc in the W(A2) structure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Sc W(A2),Ti  W(A2),V W(A2),Cr W(A2),Fe W(A2),Co W(A2),Ni W(A2),Cu W(A2),Zn Mg(A3),CuZn CsCl (B2),Zr W (A2),Zr Mg (A3),Nb W(A2),Ag W(A2),"TiAl, NaCl (B1)  ","TiAl, CsCl (B2)",CoTi CsCl(B2),Al Cu(A1),"Ni3Al, Cu3Au (L12)","NiAl, CsCl(B2)","CoAl, CsCl (B2)",Co3Al Cu3Au(L12),"Fe3Ni, Cu3Au(L12)","FeNi, AuCu(L10)","FeNi3, AuCu3(L12)",Pd Cu(A1),"FePd, AuCu(L10)","FePd3, AuCu3(L12)","Fe3Pd, AuCu3(L12)","VNi3, SnNi3(DO19)","NiTi, CsCl(B2)",Be Mg(A3),Be3Co D03(cF16),TiAl AuCu(L10)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.29,,,,,,,,,,,,,,,,,,,0.00702,,,,,,,,,,,,,,1.0464,,
-0.284,,,,,,,,,,,,,,,,,,,0.2131,,,,,,,,,,,,,,1.10258,,
-0.278,,,,,,,,,,,,,,,,,,,0.28367,,,,,,,,,,,,,,1.1636,,
-0.272,,,,,,,,,,,,,,,,,,,0.39935,,,,,,,,,,,,,,1.23687,,
-0.266,,,,,,,,,,,,,,,,,,,0.4427,,,,,,,,,,,,,,1.3078,,
-0.26,,,,,,,,,,,,,,,,,,,0.4938,,,,,,,,,,,,,,1.3485,,
