ENTRY,AGL thermal conductivity,unit cell stoichiometry,unit cell IUPAC valence,relaxed bravais lattice,space group,Pearson symbol
Ag2Be4 [906cf5402e55f573],9.19368,"0.333333333, 0.666666667",16,FCC,227 - Fd3m,cF24
Ag2Ca2 [348aaceb97a7cad5],1.334,"0.5, 0.5",12,ORCC,63 - Cmcm,oS8
Ag2Dy1[7b84ba6979e466a2],1.88626,"0.666666667, 0.333333333",12,BCT,139 - I4/mmm,tI6
Ag2Er1 [f19f7d6d2d7a3b7f],2.19604,"0.666666667, 0.333333333",11,BCT,139 - I4/mmm,tI6
Ag2Hf2 [8cffa25d1f303313],4.06398,"0.5, 0.5",16,TET,129 - P4/nmm,tP4
Ag2Ho1[b76039d9d889a419],2.02152,"0.666666667, 0.333333333",11,BCT,139 - I4/mmm,tI6
Ag2Li2 [6a0cfd8361d328cd],0.604212,"0.5, 0.5",10,BCT,141 - I41/amd,tI8
Ag2Sc1 [efede5d94aeda377],2.82917,"0.666666667, 0.333333333",11,BCT,139 - I4/mmm,tI6
Ag2Tb1 [ce620ffad6e99ca9],1.69739,"0.666666667, 0.333333333",12,BCT,139 - I4/mmm,tI6
Ag2Th1 [2f4b7a92fe4f70ca],2.79052,"0.666666667, 0.333333333",12,HEX,191 - P6/mmm,hP3
Ag2Th4[981a1b462db4f147],1.18724,"0.333333333, 0.666666667",24,BCT,140 - I4/mcm,tI12
Ag2Ti2 [7fc090bb2747841c],5.10615,"0.5, 0.5",16,TET,129 - P4/nmm,tP4
Ag2Y1 [17957a7083ef0ccd],2.25299,"0.666666667, 0.333333333",11,BCT,139 - I4/mmm,tI6
Ag2Yb1 [8e92a5daf4083c8c],0.991956,"0.666666667, 0.333333333",11,BCT,139 - I4/mmm,tI6
Ag2Zr2 [182ef0ed2f8125eb],4.37408,"0.5, 0.5",16,TET,129 - P4/nmm,tP4
Ag36In16[1381bdf3abc1096d],0.20578,"0.692307692, 0.307692308",192,CUB,215 - P43m,cP52
Ag3Pt1 [42e9730ac658aaf0],1.07723,"0.75, 0.25",18,CUB,221 - Pm3m,cP4
Ag4Ba2 [3c78f90c1e08f159],1.04424,"0.666666667, 0.333333333",20,ORCI,74 - Imma,oI12
Ag4Ba4[d01371eb46ecbd32],0.713274,"0.5, 0.5",24,ORC,62 - Pnma,oP8
Ag4Ca2 [b272f5b46e0c9457],0.854237,"0.666666667, 0.333333333",20,ORCI,74 - Imma,oI12
Ag4Na2[94289761b4a9021a],0.643501,"0.666666667, 0.333333333",18,FCC,227 - Fd3m,cF24
Ag4Sr2 [219d796bee875a28],0.87585,"0.666666667, 0.333333333",20,ORCI,74 - Imma,oI12
Ag8Sr8[2216102577d683b9],0.530057,"0.5, 0.5",48,ORC,62 - Pnma,oP16
Al10Ta20[4957606e268fa7ca],2.51749,"0.333333333, 0.666666667",130,TET,136 - P42/mnm,tP30
Al10W2 [4fec4fdf9fe1294e],9.83043,"0.833333333, 0.166666667",42,HEX,182 - P6322,hP12
Al12Dy4[39adb5b2c90dd553],4.45035,"0.75, 0.25",52,HEX,194 - P63/mmc,hP16
Al12Mn2[fd33fe5260049f5d],6.58041,"0.857142857, 0.142857143",50,ORCC,63 - Cmcm,oS28
Al12Ni4 [ec94631f7bd6f0a3],4.64472,"0.75, 0.25",52,ORC,62 - Pnma,oP16
Al12Re2[788320a4d0c30cc2],6.76476,"0.857142857, 0.142857143",50,ORCC,63 - Cmcm,oS28
Al12Tc2[102d5118cbe68e9c],7.34628,"0.857142857, 0.142857143",50,ORCC,63 - Cmcm,oS28
Al14Th4[078d522f37517545],3.38768,"0.777777778, 0.222222222",58,ORC,55 - Pbam,oP18
Al16Cu36[9648f4098086bb9f],0.774145,"0.307692308, 0.692307692",192,CUB,215 - P43m,cP52
Al1Au2[08167170b6a59946],0.961978,"0.333333333, 0.666666667",13,BCT,139 - I4/mmm,tI6
Al1Bi1 [786c95a74595dac5],4.40743,"0.5, 0.5",8,FCC,216 - F43m,cF8
Al1Cr2 [bed69814d84bc479],15.2638,"0.333333333, 0.666666667",15,BCT,139 - I4/mmm,tI6
Al1Dy1 [4eab5bfa96c55d55],9.56531,"0.5, 0.5",7,CUB,221 - Pm3m,cP2
Al1Ir1 [7372464395d0b3c6],25.107,"0.5, 0.5",11,CUB,221 - Pm3m,cP2
Al1La3 [cbda71948a93d2cb],2.3293,"0.25, 0.75",12,CUB,221 - Pm3m,cP4
Al1Ni1 [ad9bb3ce8c34c78e],18.0075,"0.5, 0.5",7,CUB,221 - Pm3m,cP2
Al1Ni3 [b5d669ebff2c9158],4.62072,"0.25, 0.75",15,CUB,221 - Pm3m,cP4
Al1Os1 [0bfbd3e06ddf9497],24.8158,"0.5, 0.5",11,CUB,221 - Pm3m,cP2
Al1Pd1 [ec7698ec73c32d7f],8.60186,"0.5, 0.5",7,CUB,221 - Pm3m,cP2
Al1Pt1 [54f6d5d6a4038457],4.79104,"0.5, 0.5",9,CUB,221 - Pm3m,cP2
Al1Pt3 [03988d8bec1cfd41],4.24404,"0.25, 0.75",21,CUB,221 - Pm3m,cP4
Al1Re1 [ffb0e8968a4b8d8c],9.0019,"0.5, 0.5",10,CUB,221 - Pm3m,cP2
Al1Re2 [ed75ba31d09c3ba7],27.0053,"0.333333333, 0.666666667",17,BCT,139 - I4/mmm,tI6
Al1Rh1 [359263f19d0d546e],25.1508,"0.5, 0.5",9,CUB,221 - Pm3m,cP2
Al1Ru1 [0748412c3a3db28b],25.7684,"0.5, 0.5",11,CUB,221 - Pm3m,cP2
Al1Sc1 [bc6d6d2126b11c3f],13.5515,"0.5, 0.5",6,CUB,221 - Pm3m,cP2
Al1Tb1 [15bd9ab3f2a93801],9.82754,"0.5, 0.5",7,CUB,221 - Pm3m,cP2
Al1Tb3 [3a792a64d75b5312],6.14948,"0.25, 0.75",15,CUB,221 - Pm3m,cP4
Al1Tc2 [2333c0f263184005],24.9752,"0.333333333, 0.666666667",17,BCT,139 - I4/mmm,tI6
Al1Ti1 [24f9d0cd72c1f0e5],20.0674,"0.5, 0.5",7,TET,123 - P4/mmm,tP2
Al1Y1 [53bc333b72a0cbd5],12.0523,"0.5, 0.5",6,CUB,221 - Pm3m,cP2
Al1Y3 [5baa20a85d1739d4],7.63659,"0.25, 0.75",12,CUB,221 - Pm3m,cP4
Al1Zr3 [d5adc38fa8b953cf],13.9246,"0.25, 0.75",15,CUB,221 - Pm3m,cP4
Al24Ir8 [954591007d0a3011],2.45706,"0.75, 0.25",136,CUB,223 - Pm3n,cP32
Al2Au1 [1054a8325a9e105f],2.9817,"0.666666667, 0.333333333",11,FCC,225 - Fm3m,cF12
Al2Hf2 [71942a90fe720e60],14.1102,"0.5, 0.5",14,ORCC,63 - Cmcm,oS8
Al2Hf4 [dd8fe80eb93c30d7],9.22553,"0.333333333, 0.666666667",22,BCT,140 - I4/mcm,tI12
Al2La6 [331c44611dec6b68],1.39218,"0.25, 0.75",24,HEX,194 - P63/mmc,hP8
Al2Li2 [605efbba4d8ede03],6.63386,"0.5, 0.5",8,FCC,227 - Fd3m,cF16
Al2Mo6 [8fee9dfc096e994a],13.9255,"0.25, 0.75",42,CUB,223 - Pm3n,cP8
Al2Os1 [31dd23ac86927f7a],32.569,"0.666666667, 0.333333333",14,BCT,139 - I4/mmm,tI6
Al2Pd1 [f2f1c0b701127d4f],4.41957,"0.666666667, 0.333333333",10,FCC,225 - Fm3m,cF12
Al2Pt1 [8360370e565093d1],3.91728,"0.666666667, 0.333333333",12,FCC,225 - Fm3m,cF12
Al2Ru1 [942ebb3965166f22],32.2489,"0.666666667, 0.333333333",14,BCT,139 - I4/mmm,tI6
Al2Sc4 [3b0de28f284593eb],9.83719,"0.333333333, 0.666666667",18,HEX,194 - P63/mmc,hP6
Al2Th1 [61bdf403b2bb8c80],14.1211,"0.666666667, 0.333333333",10,HEX,191 - P6/mmm,hP3
Al2Th2 [af023e196da71caf],9.33101,"0.5, 0.5",14,ORCC,63 - Cmcm,oS8
Al2Ti6 [ea1aaa7c5e737df6],11.4228,"0.25, 0.75",30,HEX,194 - P63/mmc,hP8
Al2Y2 [562b84d604763031],10.1234,"0.5, 0.5",12,ORCC,63 - Cmcm,oS8
Al2Zr2 [433ef15fc7e9cea2],16.8498,"0.5, 0.5",14,ORCC,63 - Cmcm,oS8
Al2Zr4 [5f1511de835d4c8a],8.43437,"0.333333333, 0.666666667",22,BCT,140 - I4/mcm,tI12
Al2Zr4 [f6c899d844130b12],10.4569,"0.333333333, 0.666666667",22,HEX,194 - P63/mmc,hP6
Al32Ni24[968df075338c6e29],2.51939,"0.571428571, 0.428571429",192,BCC,230 - Ia3d,cI112
Al3Dy1 [d50bd9aca24839f0],8.66879,"0.75, 0.25",13,BCT,139 - I4/mmm,tI8
Al3Dy1 [58a455185bfb2e7e],10.2867,"0.75, 0.25",13,CUB,221 - Pm3m,cP4
Al3Er1 [e0365637a0639785],10.7424,"0.75, 0.25",12,CUB,221 - Pm3m,cP4
Al3Hf1 [c4358a51c19fcdd9],18.0594,"0.75, 0.25",13,BCT,139 - I4/mmm,tI8
Al3Hf4 [adf8044883f8c0a1],13.4608,"0.428571429, 0.571428571",25,HEX,191 - P6/mmm,hP7
Al3Ho1 [ad5c5cf4045454df],10.7542,"0.75, 0.25",12,CUB,221 - Pm3m,cP4
Al3Li1 [b451856d02a043f9],7.1534,"0.75, 0.25",10,CUB,221 - Pm3m,cP4
Al3Nb1 [23f797ad294f2dfc],27.4304,"0.75, 0.25",14,BCT,139 - I4/mmm,tI8
Al3Ni2 [77177d4fd54105fc],13.3435,"0.6, 0.4",17,HEX,164 - P3m1,hP5
Al3Os2 [4862e15e81e47ebb],16.9173,"0.6, 0.4",25,BCT,139 - I4/mmm,tI10
Al3Pr1 [80202f2921a9ce3f],20.2019,"0.75, 0.25",13,CUB,221 - Pm3m,cP4
Al3Ru2 [f270148d49f6bfaf],11.4645,"0.6, 0.4",25,HEX,164 - P3m1,hP5
Al3Sc1 [6fbcea392322eda3],14.2961,"0.75, 0.25",12,BCT,139 - I4/mmm,tI8
Al3Sc1 [5331b9c8e0d5267d],13.6326,"0.75, 0.25",12,CUB,221 - Pm3m,cP4
Al3Ta1 [75c784b9418b08b5],20.9283,"0.75, 0.25",14,BCT,139 - I4/mmm,tI8
Al3Ti1 [f840378cd23c937c],9.86699,"0.75, 0.25",13,CUB,221 - Pm3m,cP4
Al3U1 [7a9452c1aff2f407],8.42758,"0.75, 0.25",15,CUB,221 - Pm3m,cP4
Al3V1 [dd93dda0b9957fba],25.0707,"0.75, 0.25",14,BCT,139 - I4/mmm,tI8
Al3Y1 [b309a907feaea8f9],12.1137,"0.75, 0.25",12,CUB,221 - Pm3m,cP4
Al3Yb1[bd9e08867b7e5d00],8.13867,"0.75, 0.25",12,CUB,221 - Pm3m,cP4
Al3Zr1 [552d0f6689b9f474],11.1041,"0.75, 0.25",13,CUB,221 - Pm3m,cP4
Al3Zr4 [78d63eb4195e54d7],15.2362,"0.428571429, 0.571428571",25,HEX,191 - P6/mmm,hP7
Al40V4 [0360ce1f6f02c4b4],1.54502,"0.909090909, 0.0909090909",140,FCC,227 - Fd3m,cF176
Al4Au8 [3ea755faf545710b],0.617981,"0.333333333, 0.666666667",52,ORC,62 - Pnma,oP12
Al4Ba1 [089db02d79e92ef6],4.98715,"0.8, 0.2",14,BCT,139 - I4/mmm,tI10
Al4Ba2 [5cb0505df67e7744],3.9454,"0.666666667, 0.333333333",16,FCC,227 - Fd3m,cF24
Al4Ca2 [bd3c0d8b8d79e6d9],7.59923,"0.666666667, 0.333333333",16,FCC,227 - Fd3m,cF24
Al4Dy2 [2ced3b6a76c21777],9.51842,"0.666666667, 0.333333333",20,FCC,227 - Fd3m,cF24
Al4Er2 [7ae7db90452e0c5c],9.53432,"0.666666667, 0.333333333",18,FCC,227 - Fd3m,cF24
Al4Er8 [edfd496faf5b2b03],3.30151,"0.333333333, 0.666666667",36,ORC,62 - Pnma,oP12
Al4H12 [8bc7e1a16279abff],8.3528,"0.25, 0.75",24,FCC,227 - Fd3m,cF64
Al4Ho2 [7c85a4cf96c49ebd],9.71238,"0.666666667, 0.333333333",18,FCC,227 - Fd3m,cF24
Al4Ho8 [6b114b9ffe1ba9ba],2.96462,"0.333333333, 0.666666667",36,ORC,62 - Pnma,oP12
Al4La1 [743e0c3c6c036e35],2.97362,"0.8, 0.2",15,BCT,139 - I4/mmm,tI10
Al4La2 [e97e1b25692fbff9],7.00494,"0.666666667, 0.333333333",18,FCC,227 - Fd3m,cF24
Al4La4 [f97425f7aebad69b],4.30039,"0.5, 0.5",24,ORCC,63 - Cmcm,oS16
Al4Li4 [8f7dba7946e36954],6.64929,"0.5, 0.5",16,HEX,194 - P63/mmc,hP8
Al4Pd20 [8cff328eb566bc65],0.991279,"0.166666667, 0.833333333",92,ORC,62 - Pnma,oP24
Al4Pd4 [4c615f5bb7991802],4.20196,"0.5, 0.5",28,CUB,198 - P213,cP8
Al4Pt12 [d8bd8c3afee2608e],1.97832,"0.25, 0.75",84,TET,127 - P4/mbm,tP16
Al4Pt4 [e4e902f0bd0191ec],4.6761,"0.5, 0.5",36,CUB,198 - P213,cP8
Al4Pt8 [d52b0022ad90146e],2.13756,"0.333333333, 0.666666667",60,ORC,62 - Pnma,oP12
Al4Ru2 [9548f38c970677ea],15.7209,"0.666666667, 0.333333333",28,ORCF,70 - Fddd,oF24
Al4Sc2 [ac2443c0f70194ca],13.6316,"0.666666667, 0.333333333",18,FCC,227 - Fd3m,cF24
Al4Sr2 [2889a5ebc0c660e7],5.50212,"0.666666667, 0.333333333",16,FCC,227 - Fd3m,cF24
Al4Tb2 [dc92e67eac0bcd21],9.39166,"0.666666667, 0.333333333",20,FCC,227 - Fd3m,cF24
Al4Tb8 [48e1c56b5a8980e0],2.8517,"0.333333333, 0.666666667",44,ORC,62 - Pnma,oP12
Al4Th2 [3c3f0a63dafd798f],6.06727,"0.666666667, 0.333333333",20,FCC,227 - Fd3m,cF24
Al4Th6 [f96f03c30cc3e786],2.40255,"0.4, 0.6",36,TET,127 - P4/mbm,tP10
Al4Y2 [54a813a47d2a272b],11.745,"0.666666667, 0.333333333",18,FCC,227 - Fd3m,cF24
Al4Y8 [a99a4e29778fe125],4.07048,"0.333333333, 0.666666667",36,ORC,62 - Pnma,oP12
Al4Yb2 [0d4deea08191ff0d],6.13359,"0.666666667, 0.333333333",18,FCC,227 - Fd3m,cF24
Al6Hf2 [06d78e7954a45ded],10.4611,"0.75, 0.25",26,BCT,139 - I4/mmm,tI16
Al6Ir2 [f6edbc35c94f3b92],3.62527,"0.75, 0.25",34,HEX,194 - P63/mmc,hP8
Al6Pt10 [fee13a25b15b4209],1.77203,"0.375, 0.625",78,ORC,55 - Pbam,oP16
Al6Th2 [4836777a449c8009],4.35912,"0.75, 0.25",26,HEX,194 - P63/mmc,hP8
Al6Zr2 [4f2db5248958cd2a],13.5073,"0.75, 0.25",26,BCT,139 - I4/mmm,tI16
Al8Dy12[d67acb31a621d6d8],2.15715,"0.4, 0.6",72,TET,136 - P42/mnm,tP20
Al8Er12[5674982ac90bc04c],2.40611,"0.4, 0.6",60,TET,136 - P42/mnm,tP20
Al8Er8 [93d7578ce765cc05],3.5155,"0.5, 0.5",48,ORC,57 - Pbcm,oP16
Al8Hf12 [867e6f10a28bcc96],4.01457,"0.4, 0.6",72,TET,136 - P42/mnm,tP20
Al8Hf4 [c18d6aeb85f16ed5],8.44045,"0.666666667, 0.333333333",40,HEX,194 - P63/mmc,hP12
Al8Ho12[3e889b2ebbefdb97],2.29906,"0.4, 0.6",60,TET,136 - P42/mnm,tP20
Al8Mg4 [7ae8cfbe27c1265d],1.19206,"0.666666667, 0.333333333",32,BCT,141 - I41/amd,tI24
Al8Mo3 [2758cc57bfa5c5ea],12.8291,"0.727272727, 0.272727273",42,MCLC,12 - C2/m,mS22
Al8Sb8 [206f48cebe73b76f],1.94949,"0.5, 0.5",64,CUB,205 - Pa3,cP16
Al8Tb12[3677ba6a2d1dd30d],2.17162,"0.4, 0.6",72,TET,136 - P42/mnm,tP20
Al8Tb8 [937faec2d67d409d],3.55813,"0.5, 0.5",56,ORC,57 - Pbcm,oP16
Al8Y12 [33853d302c8aeea7],3.19249,"0.4, 0.6",60,TET,136 - P42/mnm,tP20
Al8Zr10[d53254a247baa5b7],4.15339,"0.444444444, 0.555555556",64,HEX,193 - P63/mcm,hP18
Al8Zr12 [a659f3fa4217743a],4.67496,"0.4, 0.6",72,TET,136 - P42/mnm,tP20
Al8Zr4 [c39bb8d6a0701e63],10.6079,"0.666666667, 0.333333333",40,HEX,194 - P63/mmc,hP12
Al8Zr4 [e271e75bc4d33962],10.5362,"0.666666667, 0.333333333",40,HEX,194 - P63/mmc,hP12
Al8Zr4 [57d95c24181ec14e],10.5841,"0.666666667, 0.333333333",40,HEX,194 - P63/mmc,hP12
Al8Zr4 [e2f80048d263595c],10.6146,"0.666666667, 0.333333333",40,HEX,194 - P63/mmc,hP12
Au12Zn4[c1bd2c42aea8a59f],0.411514,"0.75, 0.25",68,ORCC,64 - Cmce,oS32
Au16Hf4[cdee195b951f5d51],0.666121,"0.8, 0.2",96,ORC,62 - Pnma,oP20
Au16Zr4[115eb92b97906ada],0.663948,"0.8, 0.2",96,ORC,62 - Pnma,oP20
Au1Be5[85891227116e3254],18.1021,"0.166666667, 0.833333333",15,FCC,216 - F43m,cF24
Au1Cd1 [a9cd44a3b513cfa5],0.605889,"0.5, 0.5",7,CUB,221 - Pm3m,cP2
Au1Cs1 [536c2f463e4fff78],0.500054,"0.5, 0.5",6,CUB,221 - Pm3m,cP2
Au1Cu3[e7e21be634245737],3.02242,"0.25, 0.75",17,CUB,221 - Pm3m,cP4
Au1Dy1 [bc1e17464cf173cc],3.80521,"0.5, 0.5",9,CUB,221 - Pm3m,cP2
Au1Er1 [f61653f3acd74575],3.75609,"0.5, 0.5",8,CUB,221 - Pm3m,cP2
Au1Ga2 [ad6f64d685ae95e7],0.760359,"0.333333333, 0.666666667",11,FCC,225 - Fm3m,cF12
Au1Gd1[9eba71c2bb569c1a],2.34303,"0.5, 0.5",8,CUB,221 - Pm3m,cP2
Au1Hf2 [b9aa9e3ae8a13d37],7.7815,"0.333333333, 0.666666667",13,BCT,139 - I4/mmm,tI6
Au1Ho1[5114e838d863517f],3.76495,"0.5, 0.5",8,CUB,221 - Pm3m,cP2
Au1In2 [0c443f85eacd3890],0.926802,"0.333333333, 0.666666667",11,FCC,225 - Fm3m,cF12
Au1Li3 [5891782b644338f2],0.631544,"0.25, 0.75",8,FCC,225 - Fm3m,cF16
Au1Mg1[12adf10b63fa2334],3.09628,"0.5, 0.5",7,CUB,221 - Pm3m,cP2
Au1Mn1[a655aeef53046339],2.64704,"0.5, 0.5",12,CUB,221 - Pm3m,cP2
Au1Mn2[ab6ed34ac75bc7b8],2.6582,"0.333333333, 0.666666667",19,BCT,139 - I4/mmm,tI6
Au1Pd3 [505a6d1ea13b8eb4],2.50825,"0.25, 0.75",17,CUB,221 - Pm3m,cP4
Au1Rb1 [5651bdf75cf895a8],0.662629,"0.5, 0.5",6,CUB,221 - Pm3m,cP2
Au1Sc1[bb1785238190c409],5.82201,"0.5, 0.5",8,CUB,221 - Pm3m,cP2
Au1Tb1[b30202b6b636a8de],3.66941,"0.5, 0.5",9,CUB,221 - Pm3m,cP2
Au1Ti1 [c91c8e749f62a9d4],2.31474,"0.5, 0.5",9,CUB,221 - Pm3m,cP2
Au1Y1 [ae7b9e24cd36edc3],4.65739,"0.5, 0.5",8,CUB,221 - Pm3m,cP2
Au1Yb1[0d57d1fc06190bdd],0.915115,"0.5, 0.5",8,CUB,221 - Pm3m,cP2
Au1Zn1[932366769d6016ef],1.36482,"0.5, 0.5",7,CUB,221 - Pm3m,cP2
Au1Zr2 [b7be5681f4e86792],6.88627,"0.333333333, 0.666666667",13,BCT,139 - I4/mmm,tI6
Au2Ba1 [822ff35409e2f917],1.27186,"0.666666667, 0.333333333",12,HEX,191 - P6/mmm,hP3
Au2Be1 [da9e30cd2712e2a0],1.87419,"0.666666667, 0.333333333",12,BCT,139 - I4/mmm,tI6
Au2Ca2 [f2f6cf00606361b7],1.33299,"0.5, 0.5",14,ORCC,63 - Cmcm,oS8
Au2Cd2[703198c6cbb0a2ac],0.540213,"0.5, 0.5",14,ORC,51 - Pmma,oP4
Au2Dy1[ce621a8d06b6896b],2.62348,"0.666666667, 0.333333333",14,BCT,139 - I4/mmm,tI6
Au2Er1 [4526d8f300eaf61a],2.8501,"0.666666667, 0.333333333",13,BCT,139 - I4/mmm,tI6
Au2Gd2[3d37baaa5a26457a],1.21337,"0.5, 0.5",16,ORCC,63 - Cmcm,oS8
Au2Hf2 [6f0897e71576b27e],5.24308,"0.5, 0.5",18,TET,129 - P4/nmm,tP4
Au2Ho1 [61be49548ff7b362],2.67566,"0.666666667, 0.333333333",13,BCT,139 - I4/mmm,tI6
Au2La2[4c66320b9dcb1592],0.662441,"0.5, 0.5",16,ORCC,63 - Cmcm,oS8
Au2Mn1[34b1e81ce8d9666d],1.22095,"0.666666667, 0.333333333",17,BCT,139 - I4/mmm,tI6
Au2Nb1[03e66c089b82497c],4.78683,"0.666666667, 0.333333333",15,HEX,191 - P6/mmm,hP3
Au2Nb3[3a36523e268b82dc],5.45603,"0.4, 0.6",25,BCT,139 - I4/mmm,tI10
Au2Nb6[49e03dc8eb3080dd],5.22147,"0.25, 0.75",40,CUB,223 - Pm3n,cP8
Au2Sc1 [810fafde07d827ec],3.6584,"0.666666667, 0.333333333",13,BCT,139 - I4/mmm,tI6
Au2Sn2 [faa802d7779d1e57],0.624419,"0.5, 0.5",18,HEX,194 - P63/mmc,hP4
Au2Sn8[8e941641cd230751],0.459713,"0.2, 0.8",42,ORCC,68 - Ccce,oS20
Au2Ta6 [026d53f8b797a05e],4.16073,"0.25, 0.75",40,CUB,223 - Pm3n,cP8
Au2Tb1 [d747bd4ffc1c3a31],2.42162,"0.666666667, 0.333333333",14,BCT,139 - I4/mmm,tI6
Au2Th1 [d4fcfa0bda62b2b6],3.02712,"0.666666667, 0.333333333",14,HEX,191 - P6/mmm,hP3
Au2Th2 [cb4f4dc8c948e3eb],1.57494,"0.5, 0.5",18,ORCC,63 - Cmcm,oS8
Au2Ti1 [9f4e0d882b8e9373],2.71885,"0.666666667, 0.333333333",14,BCT,139 - I4/mmm,tI6
Au2Ti2 [fe1aac683289b047],4.32526,"0.5, 0.5",18,TET,129 - P4/nmm,tP4
Au2Ti6 [6809e154de355a4c],7.10722,"0.25, 0.75",34,CUB,223 - Pm3n,cP8
Au2Y1 [2f4a0b485ba2036d],2.85512,"0.666666667, 0.333333333",13,BCT,139 - I4/mmm,tI6
Au2Yb1 [5f53eeb11197a3de],1.05593,"0.666666667, 0.333333333",13,BCT,139 - I4/mmm,tI6
Au2Zr6 [d7af12a25c0d430e],3.14793,"0.25, 0.75",34,CUB,223 - Pm3n,cP8
Au36In16[bda82cdcf87fa384],0.116457,"0.692307692, 0.307692308",228,CUB,215 - P43m,cP52
Au3Cu1 [16f60b1d7ed17e5e],1.63267,"0.75, 0.25",19,CUB,221 - Pm3m,cP4
Au3K2 [6a88ba550e5d3b86],0.525211,"0.6, 0.4",17,ORCI,71 - Immm,oI10
Au3Li1 [c95606e8cb3cef5a],0.445481,"0.75, 0.25",16,CUB,221 - Pm3m,cP4
Au3Rb2[bc97161f250b6c1d],0.486594,"0.6, 0.4",17,ORCI,71 - Immm,oI10
Au4Ba4 [e5d622930c8ffda7],0.682268,"0.5, 0.5",28,ORC,62 - Pnma,oP8
Au4Bi2 [0aac11f148bc088b],0.84422,"0.666666667, 0.333333333",30,FCC,227 - Fd3m,cF24
Au4Ca12[6a0602c7c4adc479],0.669899,"0.25, 0.75",44,ORC,62 - Pnma,oP16
Au4Ca2[868b8b96c147ab2b],0.557281,"0.666666667, 0.333333333",24,ORCI,74 - Imma,oI12
Au4Cr1 [9ffb88b9041ab447],0.833799,"0.8, 0.2",26,BCT,87 - I4/m,tI10
Au4Dy8[82c8ded576d052a4],0.998892,"0.333333333, 0.666666667",52,ORC,62 - Pnma,oP12
Au4Er8 [d4eddbd6a353d061],1.00377,"0.333333333, 0.666666667",44,ORC,62 - Pnma,oP12
Au4Ho1 [9a0d8c9ac041f59a],0.925799,"0.8, 0.2",23,BCT,87 - I4/m,tI10
Au4Ho8[0d41c566b96e2b8b],0.971274,"0.333333333, 0.666666667",44,ORC,62 - Pnma,oP12
Au4La4 [a126f192de14ca4b],0.591976,"0.5, 0.5",32,ORC,62 - Pnma,oP8
Au4La8 [b49f4099f7e1aa71],0.637761,"0.333333333, 0.666666667",44,ORC,62 - Pnma,oP12
Au4Sb8[0b3a0c3057da1967],0.608544,"0.333333333, 0.666666667",60,CUB,205 - Pa3,cP12
Au4Tb8 [93442a16299dfccf],0.969947,"0.333333333, 0.666666667",52,ORC,62 - Pnma,oP12
Au4Ti1 [f3528bce37f6d71f],1.0409,"0.8, 0.2",24,BCT,87 - I4/m,tI10
Au4V2 [b23122bb442e333c],1.38202,"0.666666667, 0.333333333",30,ORCC,63 - Cmcm,oS12
Au4Y8 [4d761230b92893b6],1.2269,"0.333333333, 0.666666667",44,ORC,62 - Pnma,oP12
Au4Yb1 [b9fafb23d95106e0],0.530069,"0.8, 0.2",23,BCT,87 - I4/m,tI10
Au4Yb4[1768b57b131060fb],0.876301,"0.5, 0.5",32,ORC,62 - Pnma,oP8
Au5K1 [35bcc55fc8729f56],0.681375,"0.833333333, 0.166666667",26,HEX,191 - P6/mmm,hP6
Au5Rb1[b42654f8412d6a9c],0.612997,"0.833333333, 0.166666667",26,HEX,191 - P6/mmm,hP6
Au6Ca10[c04a329e050ee0ff],0.642865,"0.375, 0.625",50,BCT,140 - I4/mcm,tI32
Au6Sr14[e406d134beb17910],0.312061,"0.3, 0.7",58,HEX,186 - P63mc,hP20
Au8Ga4[ab71b3c24dfb8581],0.358585,"0.666666667, 0.333333333",52,ORCC,36 - Cmc21,oS24
Au8Li30[516cbb6057d9a423],0.296593,"0.210526316, 0.789473684",70,BCC,220 - I43d,cI76
Au8Nb12[3ab379fa84871cea],1.80702,"0.4, 0.6",100,CUB,213 - P4132,cP20
Au8Zn24[7529d71cc6327c0c],0.311753,"0.25, 0.75",88,CUB,223 - Pm3n,cP32
Ba10Sb8[a92b58c15da82969],0.702012,"0.555555556, 0.444444444",60,ORCC,64 - Cmce,oS36
Ba10Sn6 [ee98bad7fa252f63],0.857093,"0.625, 0.375",44,BCT,140 - I4/mcm,tI32
Ba1Cd1[6d05d48201243e90],2.05258,"0.5, 0.5",4,CUB,221 - Pm3m,cP2
Ba1Ga2 [2a8d0966bfe7ee51],3.27235,"0.333333333, 0.666666667",8,HEX,191 - P6/mmm,hP3
Ba1Ga4 [c67b818b8f839e87],2.19296,"0.2, 0.8",14,BCT,139 - I4/mmm,tI10
Ba1Hg1[19c353e662a40130],1.5592,"0.5, 0.5",6,CUB,221 - Pm3m,cP2
Ba1In4 [348b8fa1616f2ea1],1.22572,"0.2, 0.8",14,BCT,139 - I4/mmm,tI10
Ba1Pt5 [366eba3176381355],3.01352,"0.166666667, 0.833333333",32,HEX,191 - P6/mmm,hP6
Ba1Zn1 [f2968781e0b42ff9],2.80117,"0.5, 0.5",4,CUB,221 - Pm3m,cP2
Ba2Be26[e72d9d4159dcccf8],11.4707,"0.0714285714, 0.928571429",56,FCC,226 - Fm3c,cF112
Ba2Bi3 [ec10eb407ac3cb2e],1.3491,"0.4, 0.6",19,ORCI,71 - Immm,oI10
Ba2Cd1 [0bc4e2ff418c3658],1.90106,"0.666666667, 0.333333333",6,BCT,139 - I4/mmm,tI6
