ENTRY,AGL thermal conductivity,unit cell stoichiometry,unit cell IUPAC valence,relaxed bravais lattice,space group,Pearson symbol
Pt4Y2 [e49cd74ec6cc394c],4.53992,"0.666666667, 0.333333333",30,FCC,227 - Fd3m,cF24
Pt4Y4 [3756c870356d9386],2.26747,"0.5, 0.5",36,ORC,62 - Pnma,oP8
Pt4Y8 [4f8e1ad1b844b012],1.60547,"0.333333333, 0.666666667",48,ORC,62 - Pnma,oP12
Pt4Yb2 [c286a3280ca15bb3],3.05806,"0.666666667, 0.333333333",30,FCC,227 - Fd3m,cF24
Pt5Pu1 [dd6378dc5a8f1212],4.65791,"0.833333333, 0.166666667",37,FCC,216 - F43m,cF24
Pt6Sb4 [4e63b9ef183471b8],0.807631,"0.6, 0.4",56,ORCI,72 - Ibam,oI20
Pt6Th14 [a583c9abe263a4bd],0.814413,"0.3, 0.7",92,HEX,186 - P63mc,hP20
Pt6Y14 [4b9c382e991c6048],1.03595,"0.3, 0.7",78,HEX,186 - P63mc,hP20
Pt7Sb1 [b6d3d8ef3f601fcc],0.81457,"0.875, 0.125",47,FCC,225 - Fm3m,cF32
Pt8V1 [1ace57109680199f],2.45724,"0.888888889, 0.111111111",53,BCT,139 - I4/mmm,tI18
Pt8Zr16 [7159081b5031694f],0.895417,"0.333333333, 0.666666667",112,FCC,227 - Fd3m,cF96
Pu1Ru1 [62a3afd4deefd5b2],0.498391,"0.5, 0.5",15,CUB,221 - Pm3m,cP2
Rb8Sb8 [8cf08ce1df285278],0.314214,"0.5, 0.5",48,ORC,19 - P212121,oP16
Re1Ti1 [6b78de2c3b4532ce],8.9481,"0.5, 0.5",11,CUB,221 - Pm3m,cP2
Re1Ti2 [fd82bebb95edb6fd],19.3724,"0.333333333, 0.666666667",15,HEX,164 - P3m1,hP3
Re3Ru1 [e7c45a3ae6fc7c66],26.4135,"0.75, 0.25",29,ORCI,44 - Imm2,oI8
Re8Sc4 [1c0045eff83689ed],4.64636,"0.666666667, 0.333333333",68,HEX,194 - P63/mmc,hP12
Re8Sc4 [fcf6e3f7975df32a],4.59076,"0.666666667, 0.333333333",68,HEX,194 - P63/mmc,hP12
Re8Tb4 [9eea25eafebd9a4a],1.55916,"0.666666667, 0.333333333",72,HEX,194 - P63/mmc,hP12
Re8Tb4 [3e41a1f628d95c09],1.55916,"0.666666667, 0.333333333",72,HEX,194 - P63/mmc,hP12
Re8W4 [eae54e0aeabbd0e9],5.9875,"0.666666667, 0.333333333",80,HEX,194 - P63/mmc,hP12
Re8Y4 [fada3e5e0d50e8a7],2.31131,"0.666666667, 0.333333333",68,HEX,194 - P63/mmc,hP12
Re8Y4 [4dc818520eda573c],2.27555,"0.666666667, 0.333333333",68,HEX,194 - P63/mmc,hP12
Re8Zr4 [76e5c883a33f1ee8],2.97895,"0.666666667, 0.333333333",72,HEX,194 - P63/mmc,hP12
Re8Zr4 [2d3eb8e5ba3a4b4c],2.98482,"0.666666667, 0.333333333",72,HEX,194 - P63/mmc,hP12
